Anyo_Periodo ;	Infraccionesregistradas
2015-Trimestre4	; -2,64
2016-Trimestre1 ; 	-1,76
2016-Trimestre2	; -2,64
2016-Trimestre3	; -1,5
2016-Trimestre4	; -1,33
2017-Trimestre1	; 1,54
2017-Trimestre2	; 0,65
2017-Trimestre3	; 0,49
2017-Trimestre4	; 1,8
2018-Trimestre1	; 1,65
2018-Trimestre2	; 2,7
2018-Trimestre3	; 3,7
2018-Trimestre4	; 4,17
2019-Trimestre1	; 5,01
2019-Trimestre2	; 4,22
2019-Trimestre3	; 3,92
2019-Trimestre4	; 3,32
2020-Trimestre1	; -8,92
2020-Trimestre2	; -24,83
2020-Trimestre3	; -20,21
